iter	Passed	Remaining
0	132	132500
1	134	67097
2	136	45414
3	138	34583
4	141	28163
5	143	23814
6	145	20697
7	147	18329
8	149	16499
9	151	15015
10	153	13782
11	154	12756
12	156	11868
13	157	11124
14	159	10472
15	160	9889
16	162	9370
17	163	8915
18	164	8504
19	165	8130
20	167	7799
21	168	7484
22	169	7191
23	170	6940
24	171	6697
25	172	6471
26	173	6263
27	175	6075
28	176	5896
29	177	5727
30	178	5573
31	179	5421
32	180	5281
33	181	5147
34	182	5019
35	182	4896
36	183	4782
37	184	4673
38	185	4567
39	186	4466
40	186	4369
41	187	4275
42	188	4187
43	188	4105
44	189	4024
45	190	3944
46	190	3867
47	191	3794
48	191	3725
49	192	3657
50	193	3592
51	193	3529
52	194	3468
53	194	3409
54	195	3352
55	195	3297
56	196	3245
57	196	3195
58	197	3145
59	197	3097
60	198	3050
61	198	3004
62	199	2960
63	199	2919
64	200	2878
65	200	2838
66	201	2799
67	201	2758
68	201	2721
69	202	2686
70	202	2651
71	203	2618
72	203	2587
73	204	2555
74	204	2526
75	205	2495
76	205	2467
77	206	2438
78	206	2411
79	207	2383
80	207	2356
81	208	2330
82	208	2304
83	209	2280
84	209	2254
85	209	2231
86	210	2206
87	210	2183
88	211	2160
89	211	2140
90	212	2119
91	212	2097
92	213	2078
93	213	2060
94	214	2041
95	214	2023
96	215	2005
97	216	1988
98	216	1972
99	217	1957
100	218	1942
101	218	1924
102	219	1909
103	219	1894
104	220	1880
105	221	1865
106	221	1851
107	222	1837
108	223	1823
109	223	1809
110	224	1796
111	224	1782
112	225	1770
113	226	1757
114	226	1745
115	227	1731
116	228	1722
117	228	1710
118	229	1698
119	229	1686
120	230	1675
121	231	1664
122	231	1652
123	232	1641
124	233	1632
125	233	1622
126	234	1613
127	235	1602
128	235	1592
129	236	1582
130	237	1572
131	237	1563
132	238	1553
133	238	1543
134	239	1534
135	240	1525
136	240	1516
137	241	1506
138	241	1497
139	242	1489
140	243	1481
141	243	1473
142	244	1465
143	245	1456
144	245	1448
145	246	1440
146	246	1431
147	247	1423
148	247	1415
149	248	1407
150	248	1399
151	249	1391
152	249	1383
153	250	1375
154	250	1368
155	251	1360
156	251	1352
157	252	1345
158	253	1338
159	253	1331
160	254	1324
161	254	1316
162	255	1310
163	255	1303
164	256	1295
165	256	1289
166	257	1282
167	257	1276
168	258	1269
169	258	1263
170	259	1257
171	259	1250
172	260	1244
173	260	1238
174	261	1232
175	261	1226
176	262	1220
177	262	1214
178	263	1208
179	264	1202
180	264	1196
181	264	1190
182	265	1184
183	265	1178
184	266	1173
185	266	1167
186	267	1162
187	267	1157
188	268	1151
189	269	1147
190	269	1141
191	270	1136
192	270	1130
193	271	1125
194	271	1121
195	272	1115
196	272	1110
197	272	1105
198	273	1100
199	274	1096
200	274	1091
201	275	1087
202	275	1082
203	276	1078
204	276	1073
205	277	1069
206	278	1065
207	278	1060
208	279	1056
209	279	1052
210	280	1048
211	281	1044
212	281	1040
213	282	1036
214	282	1032
215	283	1028
216	283	1024
217	284	1020
218	285	1017
219	285	1012
220	286	1009
221	286	1005
222	287	1001
223	287	997
224	288	993
225	289	990
226	289	986
227	290	982
228	290	978
229	291	975
230	291	971
231	292	967
232	292	964
233	293	960
234	293	956
235	294	953
236	294	949
237	295	946
238	296	942
239	296	939
240	297	935
241	297	932
242	298	928
243	298	925
244	299	921
245	299	918
246	300	914
247	300	911
248	300	907
249	301	904
250	301	901
251	302	897
252	302	894
253	303	891
254	303	887
255	304	884
256	305	881
257	305	878
258	306	875
259	306	872
260	306	869
261	307	866
262	307	862
263	308	859
264	308	856
265	309	853
266	310	851
267	310	848
268	311	845
269	311	842
270	312	839
271	312	836
272	313	834
273	313	831
274	314	828
275	314	825
276	315	822
277	315	820
278	316	817
279	316	814
280	317	811
281	317	809
282	318	806
283	318	803
284	319	801
285	319	798
286	320	796
287	321	793
288	321	791
289	322	788
290	322	786
291	323	783
292	323	781
293	324	778
294	324	776
295	325	774
296	326	771
297	326	769
298	327	766
299	327	764
300	328	762
301	328	759
302	329	757
303	329	755
304	330	752
305	330	750
306	331	748
307	332	746
308	332	744
309	333	742
310	334	740
311	334	738
312	335	736
313	335	733
314	336	731
315	337	729
316	337	727
317	338	724
318	338	722
319	339	720
320	339	718
321	340	716
322	340	714
323	341	711
324	341	709
325	342	707
326	342	705
327	343	703
328	344	701
329	344	699
330	345	697
331	345	695
332	346	693
333	346	691
334	347	689
335	348	688
336	348	686
337	349	684
338	349	682
339	350	680
340	351	678
341	351	676
342	352	675
343	352	673
344	353	671
345	354	669
346	354	667
347	355	665
348	355	663
349	356	661
350	356	659
351	357	657
352	357	655
353	358	653
354	358	651
355	359	650
356	359	648
357	360	646
358	360	644
359	361	642
360	361	640
361	362	638
362	362	636
363	363	635
364	364	633
365	364	631
366	365	629
367	365	627
368	366	625
369	366	624
370	367	622
371	367	620
372	368	619
373	368	617
374	369	615
375	369	613
376	370	612
377	371	610
378	371	608
379	372	607
380	372	605
381	373	603
382	373	602
383	374	600
384	375	599
385	375	597
386	376	595
387	376	594
388	377	592
389	377	590
390	378	589
391	378	587
392	379	585
393	379	584
394	380	582
395	381	581
396	381	579
397	382	578
398	382	576
399	383	574
400	383	573
401	384	571
402	384	569
403	385	568
404	385	566
405	386	565
406	386	563
407	387	562
408	388	560
409	388	559
410	389	557
411	389	556
412	390	554
413	390	553
414	391	551
415	391	549
416	392	548
417	392	546
418	393	545
419	393	543
420	394	542
421	394	540
422	395	539
423	395	537
424	396	536
425	396	534
426	397	533
427	397	531
428	398	530
429	398	528
430	399	527
431	399	525
432	400	524
433	400	522
434	401	521
435	401	519
436	402	518
437	402	517
438	403	515
439	403	514
440	404	512
441	404	511
442	405	509
443	405	508
444	406	506
445	406	505
446	407	504
447	408	502
448	408	501
449	409	499
450	409	498
451	410	497
452	410	495
453	411	494
454	411	493
455	412	492
456	413	490
457	413	489
458	414	488
459	414	486
460	415	485
461	415	484
462	416	482
463	416	481
464	417	480
465	417	478
466	418	477
467	418	476
468	419	474
469	419	473
470	420	472
471	420	470
472	421	469
473	421	468
474	422	466
475	423	465
476	423	464
477	424	463
478	424	461
479	425	460
480	425	459
481	426	457
482	426	456
483	427	455
484	427	454
485	428	452
486	428	451
487	429	450
488	429	449
489	430	447
490	430	446
491	431	445
492	431	444
493	432	442
494	433	441
495	433	440
496	434	439
497	434	438
498	435	436
499	435	435
500	436	434
501	436	433
502	437	432
503	438	431
504	438	429
505	439	428
506	439	427
507	440	426
508	440	425
509	441	424
510	441	422
511	442	421
512	442	420
513	443	419
514	443	418
515	444	416
516	444	415
517	445	414
518	445	413
519	446	412
520	447	411
521	447	409
522	448	408
523	448	407
524	449	406
525	449	405
526	450	404
527	450	403
528	451	401
529	451	400
530	452	399
531	452	398
532	453	397
533	453	396
534	454	395
535	455	393
536	455	392
537	456	391
538	456	390
539	457	389
540	457	388
541	458	387
542	458	386
543	459	385
544	460	384
545	460	383
546	461	381
547	461	380
548	462	379
549	463	378
550	463	377
551	464	376
552	464	375
553	465	374
554	465	373
555	466	372
556	467	371
557	467	370
558	468	369
559	469	368
560	469	367
561	470	366
562	470	365
563	471	364
564	471	363
565	472	362
566	472	361
567	473	360
568	474	359
569	474	358
570	475	357
571	475	356
572	476	354
573	476	353
574	477	353
575	478	351
576	478	350
577	479	349
578	479	348
579	480	347
580	480	346
581	481	345
582	482	344
583	482	343
584	483	342
585	484	342
586	485	341
587	486	340
588	487	339
589	487	338
590	488	337
591	489	337
592	489	336
593	490	335
594	491	334
595	491	333
596	492	332
597	493	331
598	493	330
599	494	329
600	495	328
601	495	327
602	496	327
603	497	326
604	498	325
605	498	324
606	499	323
607	500	322
608	501	321
609	501	320
610	502	319
611	503	318
612	503	318
613	504	317
614	505	316
615	506	315
616	506	314
617	507	313
618	508	312
619	508	311
620	509	310
621	510	310
622	510	309
623	511	308
624	512	307
625	512	306
626	513	305
627	514	304
628	515	303
629	515	303
630	516	302
631	517	301
632	518	300
633	518	299
634	519	298
635	520	297
636	520	296
637	521	295
638	521	294
639	522	293
640	523	293
641	523	292
642	524	291
643	525	290
644	525	289
645	526	288
646	527	287
647	527	286
648	528	285
649	529	284
650	529	284
651	530	283
652	531	282
653	531	281
654	532	280
655	533	279
656	533	278
657	534	277
658	535	276
659	535	276
660	536	275
661	537	274
662	537	273
663	538	272
664	538	271
665	539	270
666	540	269
667	540	268
668	541	267
669	542	267
670	542	266
671	543	265
672	544	264
673	544	263
674	545	262
675	546	261
676	546	260
677	547	259
678	547	259
679	548	258
680	549	257
681	549	256
682	550	255
683	551	254
684	551	253
685	552	252
686	552	251
687	553	251
688	554	250
689	554	249
690	555	248
691	555	247
692	556	246
693	557	245
694	557	244
695	558	243
696	559	243
697	559	242
698	560	241
699	561	240
700	561	239
701	562	238
702	562	237
703	563	236
704	564	236
705	564	235
706	565	234
707	566	233
708	566	232
709	567	231
710	568	230
711	568	230
712	569	229
713	569	228
714	570	227
715	571	226
716	572	225
717	572	224
718	573	224
719	573	223
720	574	222
721	575	221
722	575	220
723	576	219
724	577	218
725	577	218
726	578	217
727	578	216
728	579	215
729	580	214
730	580	213
731	581	212
732	581	211
733	582	211
734	583	210
735	583	209
736	584	208
737	584	207
738	585	206
739	585	205
740	586	205
741	587	204
742	587	203
743	588	202
744	588	201
745	589	200
746	590	199
747	590	198
748	591	198
749	591	197
750	592	196
751	593	195
752	593	194
753	594	193
754	594	193
755	595	192
756	595	191
757	596	190
758	596	189
759	597	188
760	597	187
761	598	186
762	599	186
763	599	185
764	600	184
765	601	183
766	601	182
767	602	181
768	602	181
769	603	180
770	603	179
771	604	178
772	604	177
773	605	176
774	605	175
775	606	175
776	607	174
777	607	173
778	608	172
779	608	171
780	609	170
781	610	170
782	610	169
783	611	168
784	611	167
785	612	166
786	612	165
787	613	165
788	614	164
789	614	163
790	615	162
791	615	161
792	616	160
793	617	160
794	617	159
795	618	158
796	618	157
797	619	156
798	620	156
799	620	155
800	621	154
801	621	153
802	622	152
803	623	151
804	623	151
805	624	150
806	624	149
